popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
-0.2725939167978038,0.32699657967217377,-1.0233609894708615,0.4533202128656218,-1.0443960432448256,-0.5568895948087235,-0.6845372247094725,0.9648268876026365,-0.8443812601458797,-1.4023439719306214,-0.8919115041579995
-0.811478920447035,-1.6555730923494119,-0.27527836759840246,1.0066448847794724,-0.9301008685701445,-0.8430172283649192,-0.8166198228493311,-0.2367929376718586,-0.22108168440160467,0.9248284654403708,-1.4759404097520066
0.49724180270109786,-1.6161842909185196,0.19658913235191766,-0.6533291309620797,0.4610857106732382,-0.6304948918467304,1.1429708534036527,-0.2505477766868716,5.271360121661809,-1.5009166534398897,0.6382427945947746
-0.7344953484971448,-1.0056578687396867,0.7777917847297512,-0.929991466919005,-0.13860678394797846,-0.6512287783363098,-0.7661848922279297,0.16719177858389345,-0.4679330015280502,0.34196391390730463,-0.3504336856582774
0.8051760905006585,0.8784397997046683,1.10004276030558,1.0066448847794724,0.004262184395372615,-0.5568895948087235,0.5224485802633777,-0.2505477766868716,0.6908967927599857,1.4048345667028959,0.3579505031118657
1.3440610941498896,1.2985870149675205,-0.4479128187997394,0.7299825488225471,0.33964708758138973,0.6715931796988558,-0.5921587208885895,-0.2505477766868716,-0.6229007728352077,-0.14661372487776547,-0.7835083976937055
-0.04164320094813331,-1.8131282980729815,-1.8922877271842566,0.7299825488225471,-0.044670437262225034,-0.8730813637748094,3.1724985888624464,-0.2505477766868716,-0.330793380902247,-1.7194908602647896,-1.2091985065771351
1.2670775221999995,1.0097358044743092,0.19083465064520644,-0.3766667950051543,-0.27218926934901205,0.30875016613121625,0.023231413150525137,-0.24958712126360086,-0.9684926168122314,0.7533977149894688,-0.9284043488605959
0.7281925185507683,1.160726209959397,-1.9383235808379464,-0.10000445904822894,-0.6693650013435283,-0.7652651540289964,1.292269445437403,-0.2503032462154936,1.143457540825136,-0.05232681212976939,-0.28339869588042355
0.42025823075120766,-1.5636658890106627,0.0009367543237365126,-1.2066538028759304,-0.6661504495558027,-0.8253934248487766,-0.7283936861193867,-0.24895396200735426,-0.8841517501273627,1.6919810737081566,0.3983148873310441
